file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,contact_time_ms_00R,contact_time_ms002R,coef_restitution00R,coef_restitution002R,max_contact_radius_cm_00R,max_contact_radius_cm_002R,min_height_exp,spread_time_ms_00R,spread_time_ms_02R,spread_time_width_ms
higherResolution_t_rc20250201T125115.mat,-5.14035715470512,0.0251188643150958,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.09516125488045,2.20592804336394,0.935266693892258,0.933185804768527,0.00694768317111824,0.0097257790519945,1.75215053122731,1.30113327645938,1.24705594884834,0.998419420520986
higherResolution_t_rc20250201T125117.mat,-11.9580388959699,0.135935639087853,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.75088383309225,1.82451066950956,0.748379832507305,0.746734209002473,0.00974424668459944,0.0124747935373164,1.54045123328628,0.56341722596388,0.645948464246266,0.816969874983113
higherResolution_t_rc20250201T125134.mat,-17.5520007337009,0.292864456462524,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.55989999287915,1.89883752012572,0.196601811127168,0.190168530211326,0.0102210375108274,0.0125232588171096,1.67350726863842,0.364537797972953,0.479247280784199,0.644905650766163
higherResolution_t_rc20250201T125307.mat,-11.9580388959699,0.135935639087853,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.7315172970332,1.77907379644794,0.914763566276973,0.914264505671514,0.00974795908785423,0.0125964499940864,1.47478708956583,0.531238981435011,0.67038009435153,0.881475337395181
higherResolution_t_rc20250201T125311.mat,-7.54501246699205,0.0541169526546464,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.90909353535926,1.98974211967093,0.933192004524985,0.932210984940959,0.00800088106847453,0.0108110563576728,1.65428484286285,0.812500674354101,0.878942790372074,0.950450000436261
higherResolution_t_rc20250201T125334.mat,-4.76058103024325,0.0215443469003188,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.33113504809226,NaN,0.184240798638833,NaN,0.00580164595181746,0.00850121677346507,1.86212257816705,0.555670611540263,0.751570572445242,1.02657538448376
higherResolution_t_rc20250201T125410.mat,-17.5520007337009,0.292864456462524,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.6174037076391,1.67418570184073,0.688310104163153,0.687320049123011,0.0115959207780455,0.0143038761814233,1.38345361047944,0.424276113047382,0.509190924998564,0.707176512863726
higherResolution_t_rc20250201T125449.mat,-11.0745637732503,0.116591440117983,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.7705483158599,2.16983362559308,0.221169459625594,0.206659651334666,0.00844941271834298,0.0108605652636518,1.75818198933403,0.451836183592941,0.570716920324596,0.771086081858593
higherResolution_t_rc20250201T125509.mat,-6.98757734964656,0.0464158883361278,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.03318833949149,2.56269798232415,0.222604334818451,0.183886830756305,0.00673415206938395,0.00945674197641807,1.82222161280384,0.43768371493441,0.663974240116613,0.906502860917646
higherResolution_t_rc20250201T125550.mat,-17.5520007337009,0.292864456462524,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.60921017315258,1.64185848395755,0.877545480309269,0.877206372091577,0.0117562966595742,0.014476033008642,1.33817970494409,0.483716481413209,0.511872445375969,0.67812670877515
higherResolution_t_rc20250201T125603.mat,-4.76058103024325,0.0215443469003188,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.16175234425272,2.31215250403116,0.818655580472051,0.811296607726203,0.00646360795243319,0.00931279345016945,1.78236564834496,1.17703847232715,1.05473134844653,1.01212496911662
higherResolution_t_rc20250201T125723.mat,-16.2552365956107,0.251188643150958,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.59237618411664,1.93891320160724,0.201613230562542,0.194297807177466,0.00981683959847498,0.0122283059633133,1.68924399050615,0.350981222731624,0.492952829379829,0.664868080242416
higherResolution_t_rc20250201T125727.mat,-11.0745637732503,0.116591440117983,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.77993363718083,1.85773444833377,0.758073921253097,0.75624077003398,0.00936535917012495,0.0121438146776491,1.56846908581402,0.559692892106372,0.67425340156334,0.836783331105064
higherResolution_t_rc20250201T125741.mat,-6.98757734964656,0.0464158883361278,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.97255618429123,2.0831527548312,0.800591876745967,0.796870200854626,0.00766102484829978,0.0104289285769687,1.70417625609326,0.799093072467066,0.862853668107632,0.939425972218032
higherResolution_t_rc20250201T125829.mat,-4.76058103024325,0.0215443469003188,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.13434124706145,2.25494673597981,0.93509797117244,0.93265218116065,0.00654233380631877,0.0095338199450563,1.7677132519721,1.38902755549661,1.25733511029506,1.0049742481102
higherResolution_t_rc20250201T125916.mat,-11.0745637732503,0.116591440117983,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.75818352745297,1.80976502824904,0.919638838506656,0.919091250199373,0.00951908903751925,0.0122667537600784,1.51043193546526,0.715519020704548,0.699131951731505,0.894584992573615
higherResolution_t_rc20250201T125947.mat,-6.98757734964656,0.0464158883361278,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.94440022032846,2.03116105418037,0.93415637117032,0.933026943412475,0.00777141222975824,0.0105452051885265,1.67699753015767,1.25241898960315,0.897862406368224,0.962367868780292
higherResolution_t_rc20250201T130001.mat,-16.2552365956107,0.251188643150958,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.64258020451587,1.70234351497822,0.701802564268787,0.700710253328342,0.0111674049829133,0.0139134674003305,1.41334366328225,0.434108354431203,0.537346888961324,0.730118409425986
higherResolution_t_rc20250201T130048.mat,-4.40886324888294,0.0184784979742229,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.40815427226557,NaN,0.167480059338948,NaN,0.00545847526213216,0.00833226971114473,1.86881249361775,0.696748378062699,0.76631893452098,1.05070906788042
higherResolution_t_rc20250201T130100.mat,-10.2563609162638,0.1,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.8100262547495,2.22391389328657,0.223472676755315,0.206645359271389,0.00805655139805325,0.0106047706361024,1.77022854530301,0.410719537806053,0.585167335691727,0.792538244877849
higherResolution_t_rc20250201T130143.mat,-16.2552365956107,0.251188643150958,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.63245001642344,1.66748375007193,0.886749550720972,0.886385756367017,0.011345239001283,0.0140716169961353,1.36005369496604,0.495634349757235,0.535857155418321,0.698089138251402
