file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,max_width,contact_time_ms,coef_restitution,north_pole_min_height,north_pole_exp_min_height,max_contact_radius,spread_time_ms,spread_time_width_ms
simulation 20241024T153006-2.mat,-36.9798351832539,1.3,0.0189312135804878,0.303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.19555692562669,1.42241155021855,0.250693988212766,1.31095358757345,1.5718016260695,0.727654515589142,0.210945871987677,0.494956794607951
simulation 20241024T153006-4.mat,-34.0165008737127,1.1,0.0189312135804878,0.759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",60,1.11385278687797,1.47823843991497,0.128351717707214,1.5174967315268,1.61397886225097,0.636454449714217,0.232522457612994,0.488548990363766
simulation 20241024T153006.mat,-42.2880593922123,1.7,0.0189312135804878,0.0759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.30115182648781,1.40119911616392,0.430545410745015,0.906406762196626,1.53871502412111,0.834256666645427,0.218016683339219,0.450174989381518
simulation 20241024T153012-6.mat,-36.9798351832539,1.3,0.0189312135804878,0.0759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.27858255027453,1.43655317292163,0.468142855902045,0.972235021025748,1.50433182241182,0.801999825703631,0.288724796854641,0.486707514697818
simulation 20241024T153012.mat,-42.2880593922123,1.7,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.32745316474562,1.39766371048815,0.560717212083087,0.657608959564978,1.05222897310932,0.844130576243591,0.205053529194725,0.439568772354205
simulation 20241024T153018-3.mat,-36.9798351832539,1.3,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.30260353720483,1.42948236157009,0.601871374684335,0.753952231218599,1.11910787002663,0.812678055525041,0.266333894241424,0.472565891994734
simulation 20241024T153018.mat,-42.2880593922123,1.7,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.33722000684849,1.38941443057802,0.648618870334965,0.517160719043598,1.00538947068478,0.846808571451598,0.201518123518954,0.434854898119844
simulation 20241024T153024-9.mat,-36.9798351832539,1.3,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.31148221163737,1.41887614454278,0.689207122645499,0.63444228198877,1.08406890830485,0.815563305944271,0.260441551448472,0.467852017760373
simulation 20241024T153024.mat,-39.7227150213823,1.5,0.0189312135804878,0.759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.1300288678588,1.43537470436304,0.116997950156003,1.47705955462736,1.47705955462736,0.704893756672731,0.293438671089003,0.454888863615879
simulation 20241024T153027.mat,-39.7227150213823,1.5,0.0189312135804878,0.0759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",60,1.29022298613751,1.41339237547237,0.451345496306108,0.935267709820008,1.24007312030491,0.794627265870782,0.220560562230376,0.470291360569244
