file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,contact_time_ms_00R,contact_time_ms002R,coef_restitution00R,coef_restitution002R,max_contact_radius_cm_00R,max_contact_radius_cm_002R
WeOhSweep20241108T215315.mat,-1.02563609162638,0.001,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.54802347022552,2.97698385941798,0.947436447680662,0.947436447680662,0.00268989337107028,0.00581113482131462
WeOhSweep20241108T215456.mat,-2.04641304249408,0.00398107170553497,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.32538064273002,2.59013918860694,0.936579724619408,0.936579724619408,0.00394688431943067,0.00691275550470522
WeOhSweep20241108T215907.mat,-0.229611319880259,5.01187233627272e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332779288760451,0.00645808682589083
WeOhSweep20241108T220027.mat,-0.458134813647345,0.000199526231496888,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,4.00138637193226,NaN,0.66348850102027,NaN,0.00355820080721621,0.00657259671748548
WeOhSweep20241108T220304.mat,-0.914099128845838,0.000794328234724282,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.31834016659113,NaN,0.870574257442728,NaN,0.00388772561067135,0.00687622765152871
WeOhSweep20241108T220340.mat,-1.82386754393198,0.00316227766016838,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.77433120023124,3.03569331760364,0.90899116696203,0.878373435036286,0.00455020027974272,0.00757689595320039
WeOhSweep20241108T220821.mat,-0.229611319880259,5.01187233627272e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.94474916695619,NaN,0.968437782687437,NaN,0.00127445762161723,0.0046105888970875
WeOhSweep20241108T220944.mat,-0.458134813647345,0.000199526231496888,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.7848677949481,3.62868157432324,0.958342937146314,0.958342937146314,0.00195545110689526,0.00501917633722375
WeOhSweep20241108T221226.mat,-0.914099128845838,0.000794328234724282,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.58719211580344,3.0514754928942,0.948825875013776,0.948825875013776,0.00261912468156483,0.00569410780996454
WeOhSweep20241108T221326.mat,-1.82386754393198,0.00316227766016838,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.36294589345972,2.65567352894062,0.937840870491409,0.937840870491409,0.00389481887016818,0.0067257937724917
WeOhSweep20241108T221720.mat,-0.204641304249408,3.98107170553497e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332764623122154,0.00645779444549053
WeOhSweep20241108T221847.mat,-0.408313082454925,0.000158489319246111,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,4.11339495490068,NaN,0.577253669746342,NaN,0.00347674254741779,0.00653479460190487
WeOhSweep20241108T222154.mat,-0.814691706131093,0.000630957344480193,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.42622573423555,NaN,0.854107613444536,NaN,0.00389051673152084,0.00680232245779628
WeOhSweep20241108T222214.mat,-1.62552365956107,0.00251188643150958,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.85564622467661,3.14933958988856,0.908071403224428,0.865366150966381,0.00449730213744397,0.00743047599645932
WeOhSweep20241108T222634.mat,-0.204641304249408,3.98107170553497e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.97750423314123,NaN,0.969536654514079,NaN,0.00127430432608234,0.0045698972965338
WeOhSweep20241108T222810.mat,-0.408313082454925,0.000158489319246111,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.8125836201816,3.77332430007121,0.958982700941172,0.958982700941172,0.0018696697581893,0.00493823090587399
WeOhSweep20241108T223115.mat,-0.814691706131093,0.000630957344480193,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.62223774605736,3.12849264048853,0.949454046218571,0.949454046218571,0.00262037168651978,0.00557775395981301
